2022.11.17 10:21:46 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2022.11.17 10:21:51 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 9.7.1.62043 / 13c69ab992096c497badccbdb4a31110594574fd
2022.11.17 10:21:52 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2022.11.17 10:21:52 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2022.11.17 10:21:53 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2022.11.17 10:21:53 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Starting...
2022.11.17 10:21:53 INFO  web[][c.z.h.p.HikariPool] HikariPool-1 - Added connection conn2: url=jdbc:h2:tcp://127.0.0.1:9092/sonar user=
2022.11.17 10:21:53 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Start completed.
2022.11.17 10:21:53 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2022.11.17 10:21:58 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2022.11.17 10:21:58 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2022.11.17 10:21:59 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy C# Code Quality and Security / 8.46.0.54807 / a9f10bf0c980dd16d428c08c7a984e2205a512df
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Configuration detection fot Code Quality and Security / 1.2.0.267 / 4f37ba9ffb37a96d5883e52ad392ed32c5c6eaab
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Flex Code Quality and Security / 2.7.0.2865 / 9e61d9774455b25eefd0b71bf8903cb030641864
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Go Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy HTML Code Quality and Security / 3.6.0.3106 / 963bdc9f051f5dcb698b418790364231aeea04f2
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy IaC Code Quality and Security / 1.9.2.2279 / f946157f4bbec5a6a1d40cf3418a0360c8c9c1f6
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy JaCoCo / 1.1.1.1157 / 83478572b9f23efac29de15e30c7758bbb0c0e47
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Java Code Quality and Security / 7.14.0.30229 / 9079835c8f5e43cef40516cc49073e01bb8ad6e6
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy JavaScript/TypeScript/CSS Code Quality and Security / 9.9.0.19492 / e6156f1886415bd21e0726eb92f61d5605187a29
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Kotlin Code Quality and Security / 2.10.0.1456 / 187f0a9c30ba26886ee5975df23e2f31de86a8c1
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy PHP Code Quality and Security / 3.25.0.9077 / 62146fca3dce550eb1dde73881a14c7af4988269
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Python Code Quality and Security / 3.19.0.10254 / 411866233dc7e1f384592447884d27e220cb00ec
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Ruby Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Scala Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Text file Code Quality and Security / 1.1.0.282 / a90347d77706f598413780a08442deec4ae68f4e
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy VB.NET Code Quality and Security / 8.46.0.54807 / a9f10bf0c980dd16d428c08c7a984e2205a512df
2022.11.17 10:22:00 INFO  web[][o.s.s.p.ServerPluginManager] Deploy XML Code Quality and Security / 2.6.1.3686 / 8935c6f8341cd50defba2d8245d91dc4d07e24d0
2022.11.17 10:23:38 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2022.11.17 10:23:41 WARN  web[][o.s.a.s.w.WebService$Action] Description is not set on action api/monitoring/metrics
2022.11.17 10:23:41 WARN  web[][o.s.a.s.w.WebService$Action] Since is not set on action api/monitoring/metrics
2022.11.17 10:23:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/monitoring/metrics
2022.11.17 10:23:41 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2022.11.17 10:23:41 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2022.11.17 10:23:41 INFO  web[][DbMigrations] Executing DB migrations...
2022.11.17 10:23:41 INFO  web[][DbMigrations] #1 'Create initial schema'...
2022.11.17 10:23:42 INFO  web[][DbMigrations] #1 'Create initial schema': success | time=1532ms
2022.11.17 10:23:42 INFO  web[][DbMigrations] #2 'Populate initial schema'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #2 'Populate initial schema': success | time=320ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5001 'Drop PK on 'uuid' for 'ce_activity' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5001 'Drop PK on 'uuid' for 'ce_activity' table': success | time=55ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5002 'Drop 'ce_activity_uuid' index'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5002 'Drop 'ce_activity_uuid' index': success | time=50ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table': success | time=76ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table': success | time=27ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index': success | time=21ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table': success | time=27ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table': success | time=18ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index': success | time=10ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table': success | time=10ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table': success | time=33ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index': success | time=33ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table': success | time=23ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index'...
2022.11.17 10:23:43 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index': success | time=24ms
2022.11.17 10:23:43 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table': success | time=61ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table'...
2022.11.17 10:23:44 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table': success | time=114ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table'...
2022.11.17 10:23:44 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table': success | time=55ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table'...
2022.11.17 10:23:44 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table': success | time=80ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table': success | time=85ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6007 'Create Audit table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6007 'Create Audit table': success | time=30ms
